,,,,wins,,,,,,,,,,,,,Rating,,
"Sun
10/22",SF,vs,NO,W,20,38,52.6,198,5.2,2,5.3,0,0,,,,85.2,231,2
"Sun
10/15",SF,@,PHI,W,17,28,60.7,216,7.7,0,0,0,0,,,,84.8,226,0
"Sun
10/8",SF,@,LA,W,18,35,51.4,269,7.7,3,8.6,3,8.6,,,,69.8,276,3
"Sun
10/1",SF,@,BAL,L,12,23,52.2,135,5.9,1,4.3,1,4.3,,,,66.4,133,1
"Sun
9/24",SF,vs,ATL,W,16,29,55.2,270,9.3,2,6.9,1,3.4,,,,95.5,272,2
"Sun
9/17",SF,@,MIN,W,10,20,50,121,6.1,0,0,1,5,,,,48.1,140,0
"Sun
12/18",SF,vs,BAL,L,19,40,47.5,224,5.6,2,5,1,2.5,,,,71.3,225,2
"Sun
12/11",SF,vs,CHI,W,16,23,69.6,191,8.3,1,4.3,1,4.3,,,,91,198,1
"Sun
12/4",SF,@,GB,L,14,33,42.4,183,5.5,1,3,2,6.1,,,,45.4,183,1
"Thu
11/24",SF,@,DET,W,14,26,53.8,254,9.8,2,7.7,3,11.5,,,,73.7,254,2
"Sun
11/20",SF,vs,PHI,L,22,40,55,245,6.1,2,5,2,5,,,,69.3,245,2
"Sun
11/6",SF,vs,LA,W,21,31,67.7,277,8.9,1,3.2,2,6.5,,,,79.6,286,3
"Sun
10/30",SF,@,MIN,L,12,23,52.2,110,4.8,0,0,1,4.3,,,,47.4,110,0
"Sun
10/23",SF,vs,DET,W,18,35,51.4,221,6.3,1,2.9,3,8.6,,,,45.1,222,2
"Sun
10/16",SF,@,ATL,W,16,24,66.7,248,10.3,3,12.5,0,0,,,,140.3,248,3
"Sun
10/9",SF,vs,GB,W,3,4,75,17,4.3,0,0,0,0,,,,82.3,17,0
"Fri
9/30",SF,@,LA,L,11,31,35.5,138,4.5,0,0,4,12.9,,,,10.6,138,0
"Sun
9/25",SF,@,BAL,L,16,25,64,159,6.4,1,4,1,4,,,,78.6,159,1
"Sun
12/12",SF,@,CHI,L,19,37,51.4,250,6.8,2,5.4,1,2.7,,,,79.8,263,2
"Sun
12/5",SF,vs,DET,W,18,35,51.4,209,6,1,2.9,1,2.9,,,,67.4,209,1
"Sun
11/28",SF,@,MIN,W,10,19,52.6,209,11,5,26.3,0,0,,,,131.4,209,5
